ticker,val_lstm_mse,val_persistence_mse,val_lstm_vs_persistence_ratio,test_lstm_mse,test_persistence_mse,test_lstm_vs_persistence_ratio,lstm_beats_persistence_test
RELIANCE.NS,1.1929313210726437e-05,7.319033044121616e-06,1.6299029036776427,1.0520599356696297e-05,6.0385346394445905e-06,1.7422437701978564,False
TCS.NS,2.001256492324455e-05,8.872025020203763e-06,2.255693021341922,2.518994560865195e-05,2.206101427350026e-05,1.1418308014473373,False
HDFCBANK.NS,2.7458196654739643e-05,2.0475553288467396e-05,1.3410234276895039,2.1593675930740183e-05,1.5708842908698287e-05,1.3746191273440866,False
INFY.NS,4.1084231117277194e-05,1.0202636111153032e-05,4.026825093993687,4.531683460880416e-05,2.0241714390115743e-05,2.238784410026696,False
ICICIBANK.NS,3.712435584081339e-05,5.777857912571641e-06,6.425280164823207,0.00021630723007879123,5.683297981177159e-06,38.06015992742094,False
HINDUNILVR.NS,2.547274904261154e-05,9.661466411623963e-06,2.6365303109644525,9.776034011755363e-05,6.293342706976665e-05,1.5533929212082889,False
ITC.NS,1.4987124438392925e-05,8.684595774994653e-06,1.7257135307949496,5.602996190896288e-05,8.412250211446184e-06,6.660520134401772,False
LT.NS,2.0266212546250855e-05,6.2018639317500955e-06,3.267761558343632,9.113819051200624e-05,3.618434648374293e-05,2.5187187103946513,False
SBIN.NS,1.7917621611237742e-05,4.140552467865705e-06,4.327350456320526,4.213664529031446e-05,2.6571396410271867e-05,1.5857896453656248,False
BHARTIARTL.NS,1.710811973280945e-05,5.135871727692929e-06,3.331103391963908,1.1485237376996392e-05,5.165417974579023e-06,2.223486547171902,False
MARUTI.NS,2.4589943076715937e-05,9.802251385336318e-06,2.508601555914111,5.774006211352912e-05,9.559264249945474e-06,6.04022031443042,False
SUNPHARMA.NS,7.66373784677011e-06,4.1069352890515775e-06,1.8660478696122607,2.7850891159879597e-05,5.57089271190954e-06,4.9993587383830835,False
